status,temperature,acceleration_y,acceleration_x,humidity,pressure,v_pd,v_cc,id,acceleration_z,timestamp
0,27.26,140,-89,36.9,1007.24,999,3.466,1,1344,2015-10-27T15:37:44.281Z
0,27.2,143,-89,36.9,1007.28,999,3.466,1,1343,2015-10-27T15:36:42.198Z
0,27.24,147,-90,36.9,1007.38,999,3.461,1,1343,2015-10-27T15:35:36.383Z
0,27.24,143,-95,36.77,1007.28,999,3.461,1,1339,2015-10-27T15:34:45.715Z
0,27.24,134,-80,36.61,1007.2,999,3.461,1,1343,2015-10-27T15:33:57.702Z
0,27.3,144,-93,36.52,1007.24,999,3.461,1,1342,2015-10-27T15:32:44.856Z
0,27.29,143,-89,36.86,1007.2,999,3.461,1,1344,2015-10-27T15:30:52.364Z
0,27.23,139,-90,37.41,1007.28,999,3.466,1,1340,2015-10-27T15:29:53.427Z
0,27.17,140,-90,37.81,1007.31,999,3.461,1,1347,2015-10-27T15:29:01.042Z
0,27.21,137,-82,37.81,1007.25,999,3.461,1,1344,2015-10-27T15:27:57.986Z
0,27.19,143,-93,37.74,1007.27,999,3.461,1,1344,2015-10-27T15:27:01.124Z
0,27.34,142,-93,36.69,1007.23,999,3.466,1,1342,2015-10-27T15:26:04.911Z
0,27.36,142,-95,36.42,1007.19,999,3.466,1,1335,2015-10-27T15:25:10.350Z
0,27.33,135,-89,36.45,1007.15,999,3.466,1,1342,2015-10-27T15:24:11.955Z
0,27.38,135,-88,36.35,1007.2,999,3.461,1,1344,2015-10-27T15:23:15.696Z
0,27.47,140,-87,36.31,1007.23,999,3.461,1,1343,2015-10-27T15:22:16.315Z
0,27.49,143,-89,36.27,1007.22,999,3.461,1,1340,2015-10-27T15:21:31.234Z
0,27.45,136,-89,36.51,1007.23,999,3.466,1,1343,2015-10-27T15:20:27.949Z
0,27.45,140,-95,36.24,1007.22,999,3.461,1,1342,2015-10-27T15:19:26.646Z
0,27.43,140,-88,37.14,1007.23,999,3.461,1,1347,2015-10-27T15:18:30.776Z
0,27.5,142,-95,36.27,1007.24,999,3.466,1,1344,2015-10-27T15:17:30.474Z
0,27.43,143,-93,36.57,1007.3,999,3.466,1,1339,2015-10-27T15:16:46.726Z
0,27.48,140,-89,36.31,1007.24,999,3.466,1,1347,2015-10-27T15:15:37.008Z
0,27.45,135,-80,36.41,1007.24,999,3.466,1,1340,2015-10-27T15:14:51.653Z
0,27.47,139,-89,36.37,1007.27,999,3.466,1,1342,2015-10-27T15:13:50.965Z
